DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
7/17/2012,0.0,0,0,36.1,24.4,55
7/18/2012,44.2,0,0,31.7,21.1,35
7/19/2012,1.5,0,0,23.3,18.9,35
7/20/2012,0.0,0,0,21.7,17.8,31
7/21/2012,0.0,0,0,23.3,16.1,30
7/22/2012,0.0,0,0,28.9,16.1,47
7/23/2012,0.5,0,0,30.0,18.9,50
7/24/2012,14.0,0,0,32.8,20.0,46
7/25/2012,0.0,0,0,28.3,18.3,47
7/26/2012,0.0,0,0,28.9,18.9,34
7/27/2012,0.5,0,0,25.0,17.8,25
7/28/2012,22.1,0,0,22.2,17.2,31
7/29/2012,0.0,0,0,22.8,17.8,40
7/30/2012,0.0,0,0,27.2,17.2,37
7/31/2012,12.2,0,0,22.8,17.2,38
8/1/2012,20.3,0,0,25.6,20.0,38
8/2/2012,0.0,0,0,30.0,20.0,37
8/3/2012,0.0,0,0,33.3,22.2,51
8/4/2012,0.0,0,0,27.8,23.3,33
8/5/2012,2.0,0,0,31.1,22.2,56
8/6/2012,0.0,0,0,29.4,21.7,46
8/7/2012,0.0,0,0,25.0,19.4,35
8/8/2012,0.0,0,0,28.3,18.9,37
8/9/2012,0.0,0,0,28.3,20.6,44
8/10/2012,29.7,0,0,28.9,20.6,40
8/11/2012,0.0,0,0,27.2,21.7,34
8/12/2012,0.3,0,0,28.9,22.2,42
8/13/2012,0.0,0,0,30.0,21.7,37
8/14/2012,0.0,0,0,28.3,21.1,33
8/15/2012,21.1,0,0,28.9,18.9,34
8/16/2012,0.0,0,0,29.4,19.4,34
8/17/2012,0.0,0,0,30.0,18.9,46
8/18/2012,1.0,0,0,22.2,17.8,27
8/19/2012,0.0,0,0,22.8,16.1,28
8/20/2012,0.0,0,0,23.9,16.7,30
8/21/2012,0.0,0,0,28.3,18.9,34
8/22/2012,0.0,0,0,25.6,18.9,33
8/23/2012,0.0,0,0,30.6,18.9,38
8/24/2012,0.0,0,0,25.6,20.0,28
8/25/2012,0.0,0,0,25.0,18.9,30
8/26/2012,0.0,0,0,24.4,17.8,29
8/27/2012,0.0,0,0,29.4,16.7,48
8/28/2012,3.8,0,0,30.0,20.0,39
8/29/2012,0.0,0,0,23.9,16.7,40
8/30/2012,0.0,0,0,28.3,15.6,55
8/31/2012,0.0,0,0,32.2,20.0,65
9/1/2012,0.0,0,0,26.7,17.2,37
9/2/2012,0.0,0,0,22.8,16.7,28
9/3/2012,0.0,0,0,22.2,15.0,38
9/4/2012,11.2,0,0,22.8,17.2,29
9/5/2012,16.8,0,0,27.8,18.9,43
9/6/2012,0.0,0,0,26.1,18.3,26
9/7/2012,10.9,0,0,27.8,20.0,34
9/8/2012,18.0,0,0,27.8,19.4,66
9/9/2012,0.0,0,0,23.9,16.7,31
9/10/2012,0.0,0,0,20.6,13.3,56
9/11/2012,0.0,0,0,22.8,11.7,36
9/12/2012,0.0,0,0,22.8,11.7,30
9/13/2012,0.0,0,0,27.8,15.6,39
9/14/2012,0.0,0,0,27.2,16.1,46
9/15/2012,3.0,0,0,23.3,15.0,49
9/16/2012,0.0,0,0,21.7,12.2,36
9/17/2012,0.0,0,0,21.1,11.7,30
9/18/2012,2.3,0,0,23.9,14.4,80
9/19/2012,15.5,0,0,22.2,12.8,50
9/20/2012,0.0,0,0,16.7,10.6,40
9/21/2012,0.0,0,0,17.2,10.6,30
9/22/2012,0.0,0,0,19.4,13.3,34
9/23/2012,0.5,0,0,21.7,13.3,49
9/24/2012,0.0,0,0,19.4,10.6,40
9/25/2012,0.0,0,0,22.8,9.4,62
9/26/2012,0.0,0,0,23.3,15.0,54
9/27/2012,0.0,0,0,20.6,12.8,38
9/28/2012,20.1,0,0,14.4,12.2,43
9/29/2012,0.5,0,0,13.9,12.2,34
9/30/2012,5.3,0,0,15.0,11.7,31
10/1/2012,0.0,0,0,20.0,10.0,69
10/2/2012,0.8,0,0,21.7,13.3,25
10/3/2012,2.0,0,0,17.8,15.0,26
10/4/2012,0.8,0,0,16.7,15.0,22
10/5/2012,0.0,0,0,24.4,13.9,26
10/6/2012,1.5,0,0,25.6,12.2,53
10/7/2012,2.8,0,0,14.4,8.9,33
10/8/2012,0.0,0,0,13.3,7.8,28
10/9/2012,0.0,0,0,14.4,11.7,56
10/10/2012,3.6,0,0,16.7,11.1,47
10/11/2012,0.0,0,0,15.0,7.2,57
10/12/2012,0.8,0,0,12.2,4.4,60
10/13/2012,0.0,0,0,11.7,1.7,43
10/14/2012,4.8,0,0,19.4,8.3,47
10/15/2012,0.5,0,0,23.3,15.6,62
10/16/2012,1.5,0,0,17.2,7.2,59
