duration,start,end,strt_statn,end_statn,userType,gender,tripType
2,08/30/2011 08:30:00,08/30/2011 08:32:00,35,48,R,M,trip
186,08/30/2011 08:32:00,08/30/2011 11:38:00,48,48,,,wait
3,08/30/2011 11:38:00,08/30/2011 11:41:00,48,22,R,M,trip
289,08/30/2011 11:41:00,08/30/2011 16:30:00,22,22,,,wait
8,08/30/2011 16:30:00,08/30/2011 16:38:00,22,38,R,M,trip
283,08/30/2011 16:38:00,08/30/2011 21:21:00,38,10,,,wait
9,08/30/2011 21:21:00,08/30/2011 21:30:00,10,41,C,,trip
3982,08/30/2011 21:30:00,09/02/2011 15:52:00,41,41,,,wait
38,09/02/2011 15:52:00,09/02/2011 16:30:00,41,16,R,M,trip
68,09/02/2011 16:30:00,09/02/2011 17:38:00,16,16,,,wait
7,09/02/2011 17:38:00,09/02/2011 17:45:00,16,12,R,F,trip
1305,09/02/2011 17:45:00,09/03/2011 15:30:00,12,12,,,wait
19,09/03/2011 15:30:00,09/03/2011 15:49:00,12,5,C,,trip
67,09/03/2011 15:49:00,09/03/2011 16:56:00,5,5,,,wait
8,09/03/2011 16:56:00,09/03/2011 17:04:00,5,32,C,,trip
36,09/03/2011 17:04:00,09/03/2011 17:40:00,32,32,,,wait
9,09/03/2011 17:40:00,09/03/2011 17:49:00,32,36,C,,trip
2,09/03/2011 17:49:00,09/03/2011 17:51:00,36,36,,,wait
32,09/03/2011 17:51:00,09/03/2011 18:23:00,36,17,C,,trip
1711,09/03/2011 18:23:00,09/04/2011 22:54:00,17,16,,,wait
16,09/04/2011 22:54:00,09/04/2011 23:10:00,16,54,C,,trip
200,09/04/2011 23:10:00,09/05/2011 02:30:00,54,54,,,wait
32,09/05/2011 02:30:00,09/05/2011 03:02:00,54,45,C,,trip
683,09/05/2011 03:02:00,09/05/2011 14:25:00,45,45,,,wait
12,09/05/2011 14:25:00,09/05/2011 14:37:00,45,45,R,M,trip
8881,09/05/2011 14:37:00,09/11/2011 18:38:00,45,6,,,wait
29,09/11/2011 18:38:00,09/11/2011 19:07:00,6,52,C,,trip
4,09/11/2011 19:07:00,09/11/2011 19:11:00,52,52,,,wait
14,09/11/2011 19:11:00,09/11/2011 19:25:00,52,52,R,M,trip
33,09/11/2011 19:25:00,09/11/2011 19:58:00,52,52,,,wait
3,09/11/2011 19:58:00,09/11/2011 20:01:00,52,21,R,M,trip
1231,09/11/2011 20:01:00,09/12/2011 16:32:00,21,21,,,wait
4,09/12/2011 16:32:00,09/12/2011 16:36:00,21,16,R,F,trip
937,09/12/2011 16:36:00,09/13/2011 08:13:00,16,16,,,wait
8,09/13/2011 08:13:00,09/13/2011 08:21:00,16,55,R,F,trip
296,09/13/2011 08:21:00,09/13/2011 13:17:00,55,55,,,wait
4,09/13/2011 13:17:00,09/13/2011 13:21:00,55,36,R,M,trip
4,09/13/2011 13:21:00,09/13/2011 13:25:00,36,36,,,wait
9,09/13/2011 13:25:00,09/13/2011 13:34:00,36,45,R,M,trip
541,09/13/2011 13:34:00,09/13/2011 22:35:00,45,45,,,wait
48,09/13/2011 22:35:00,09/13/2011 23:23:00,45,17,C,,trip
1138,09/13/2011 23:23:00,09/14/2011 18:21:00,17,17,,,wait
21,09/14/2011 18:21:00,09/14/2011 18:42:00,17,25,R,M,trip
85,09/14/2011 18:42:00,09/14/2011 20:07:00,25,25,,,wait
14,09/14/2011 20:07:00,09/14/2011 20:21:00,25,34,C,,trip
333,09/14/2011 20:21:00,09/15/2011 01:54:00,34,34,,,wait
30,09/15/2011 01:54:00,09/15/2011 02:24:00,34,45,C,,trip
4,09/15/2011 02:24:00,09/15/2011 02:28:00,45,45,,,wait
20,09/15/2011 02:28:00,09/15/2011 02:48:00,45,13,C,,trip
807,09/15/2011 02:48:00,09/15/2011 16:15:00,13,33,,,wait
4,09/15/2011 16:15:00,09/15/2011 16:19:00,33,32,R,F,trip
116,09/15/2011 16:19:00,09/15/2011 18:15:00,32,32,,,wait
9,09/15/2011 18:15:00,09/15/2011 18:24:00,32,53,R,M,trip
26,09/15/2011 18:24:00,09/15/2011 18:50:00,53,53,,,wait
7,09/15/2011 18:50:00,09/15/2011 18:57:00,53,32,R,M,trip
766,09/15/2011 18:57:00,09/16/2011 07:43:00,32,32,,,wait
4,09/16/2011 07:43:00,09/16/2011 07:47:00,32,11,R,M,trip
542,09/16/2011 07:47:00,09/16/2011 16:49:00,11,11,,,wait
8,09/16/2011 16:49:00,09/16/2011 16:57:00,11,12,R,M,trip
82,09/16/2011 16:57:00,09/16/2011 18:19:00,12,12,,,wait
3,09/16/2011 18:19:00,09/16/2011 18:22:00,12,26,R,M,trip
3700,09/16/2011 18:22:00,09/19/2011 08:02:00,26,26,,,wait
4,09/19/2011 08:02:00,09/19/2011 08:06:00,26,12,R,M,trip
209,09/19/2011 08:06:00,09/19/2011 11:35:00,12,12,,,wait
11,09/19/2011 11:35:00,09/19/2011 11:46:00,12,36,C,,trip
94,09/19/2011 11:46:00,09/19/2011 13:20:00,36,36,,,wait
10,09/19/2011 13:20:00,09/19/2011 13:30:00,36,54,R,M,trip
169,09/19/2011 13:30:00,09/19/2011 16:19:00,54,54,,,wait
11,09/19/2011 16:19:00,09/19/2011 16:30:00,54,52,R,M,trip
982,09/19/2011 16:30:00,09/20/2011 08:52:00,52,24,,,wait
6,09/20/2011 08:52:00,09/20/2011 08:58:00,24,48,C,,trip
864,09/20/2011 08:58:00,09/20/2011 23:22:00,48,35,,,wait
8,09/20/2011 23:22:00,09/20/2011 23:30:00,35,36,R,M,trip
485,09/20/2011 23:30:00,09/21/2011 07:35:00,36,36,,,wait
13,09/21/2011 07:35:00,09/21/2011 07:48:00,36,22,R,M,trip
254,09/21/2011 07:48:00,09/21/2011 12:02:00,22,22,,,wait
6,09/21/2011 12:02:00,09/21/2011 12:08:00,22,43,R,M,trip
35,09/21/2011 12:08:00,09/21/2011 12:43:00,43,43,,,wait
13,09/21/2011 12:43:00,09/21/2011 12:56:00,43,43,R,M,trip
289,09/21/2011 12:56:00,09/21/2011 17:45:00,43,40,,,wait
64,09/21/2011 17:45:00,09/21/2011 18:49:00,40,36,C,,trip
50,09/21/2011 18:49:00,09/21/2011 19:39:00,36,36,,,wait
12,09/21/2011 19:39:00,09/21/2011 19:51:00,36,32,R,M,trip
192,09/21/2011 19:51:00,09/21/2011 23:03:00,32,32,,,wait
12,09/21/2011 23:03:00,09/21/2011 23:15:00,32,32,R,M,trip
573,09/21/2011 23:15:00,09/22/2011 08:48:00,32,32,,,wait
5,09/22/2011 08:48:00,09/22/2011 08:53:00,32,14,R,M,trip
586,09/22/2011 08:53:00,09/22/2011 18:39:00,14,14,,,wait
5,09/22/2011 18:39:00,09/22/2011 18:44:00,14,45,R,M,trip
721,09/22/2011 18:44:00,09/23/2011 06:45:00,45,45,,,wait
4,09/23/2011 06:45:00,09/23/2011 06:49:00,45,14,R,M,trip
178,09/23/2011 06:49:00,09/23/2011 09:47:00,14,14,,,wait
5,09/23/2011 09:47:00,09/23/2011 09:52:00,14,45,R,M,trip
133,09/23/2011 09:52:00,09/23/2011 12:05:00,45,45,,,wait
5,09/23/2011 12:05:00,09/23/2011 12:10:00,45,3,R,M,trip
463,09/23/2011 12:10:00,09/23/2011 19:53:00,3,3,,,wait
7,09/23/2011 19:53:00,09/23/2011 20:00:00,3,10,R,M,trip
747,09/23/2011 20:00:00,09/24/2011 08:27:00,10,10,,,wait
3,09/24/2011 08:27:00,09/24/2011 08:30:00,10,9,C,,trip
235,09/24/2011 08:30:00,09/24/2011 12:25:00,9,9,,,wait
26,09/24/2011 12:25:00,09/24/2011 12:51:00,9,23,C,,trip
118,09/24/2011 12:51:00,09/24/2011 14:49:00,23,23,,,wait
26,09/24/2011 14:49:00,09/24/2011 15:15:00,23,60,R,M,trip
485,09/24/2011 15:15:00,09/24/2011 23:20:00,60,60,,,wait
28,09/24/2011 23:20:00,09/24/2011 23:48:00,60,60,C,,trip
2008,09/24/2011 23:48:00,09/26/2011 09:16:00,60,44,,,wait
6,09/26/2011 09:16:00,09/26/2011 09:22:00,44,24,R,M,trip
218,09/26/2011 09:22:00,09/26/2011 13:00:00,24,24,,,wait
5,09/26/2011 13:00:00,09/26/2011 13:05:00,24,22,R,M,trip
1159,09/26/2011 13:05:00,09/27/2011 08:24:00,22,22,,,wait
7,09/27/2011 08:24:00,09/27/2011 08:31:00,22,40,R,M,trip
8,09/27/2011 08:31:00,09/27/2011 08:39:00,40,40,,,wait
9,09/27/2011 08:39:00,09/27/2011 08:48:00,40,59,R,M,trip
42,09/27/2011 08:48:00,09/27/2011 09:30:00,59,59,,,wait
