origdest,dist,time,speed,polyline,trips
003038,4.03,28.4,8.5,wplaGt|}pLz@j@ENCBE?EDc@zAGMEKICK?a@^UTIAIG]e@Uq@CIX]x@{@TmABc@?YIo@IUKKKGO?COL]Jc@Fg@@i@@IMeASw@Mc@gCmDYi@Ok@[kB^aBPuARyAFOZkAPsAd@m@h@]H]NUf@m@tDcCi@kBQ]GI{DsByDsByAu@uAUaLqBeIwA]I@OCUe@qCi@sCaAb@UcA_@eCs@qDKq@MMIo@qAqHkBgKaI|CcK|DgBp@kA{Gy@uEmBwKI@AEYuAUFa@PZnBZ`Bc@Ru@aEw@oEqBeLWaAYs@w@{ARmA@_@Ce@GUQMIMEc@Q[WSMEc@Ce@DUGQIEI?S?YKEyAa@oB]gEw@oBWq@FUFYN_@Rq@Za@Vc@B{@Gi@Ck@Sc@Um@e@y@o@i@k@wCmFWe@YW}@a@qBq@s@[iDuAY[_BsB{@aAQO\i@Vm@LeANIFMjAkJl@iCJYP_@TSj@k@xCyCl@c@DWOESIEG]s@k@_AMm@_AsBeAyBMPRd@,210
003039,1.78,13.8,7.7,wplaGt|}pLWSOi@bAyAnAgBj@gAt@cB\_Ab@yAFi@Di@z@kBxBmGTs@n@iCn@{BbBcGfAaEbAkDh@cBb@o@r@m@I]EGSg@SaAAm@Dw@UYLKmAqB]c@]s@KSIKLIBEBGLYj@m@b@YTUH[Lg@Lc@j@gBFKDUZ_Bd@iBT}@T}ARg@Va@Xa@HWJg@L_@PUZ[R[Rw@J[\k@Zy@Vg@b@e@JYHUIEoAy@s@m@q@{@a@g@UImAaBsAcBsEgGmGsJ}AcC_BiCYg@,288
003040,4.07,28.4,8.6,wplaGt|}pLz@j@ENCBE?EDc@zAGMEKICK?a@^UTIAIG]e@Uq@CIX]x@{@TmABc@?YIo@IUKKKGO?COL]Jc@Fg@@i@@IMeASw@Mc@gCmDYi@Ok@[kB^aBPuARyAFOZkAPsAd@m@h@]H]NUf@m@tDcCi@kBQ]GI{DsByDsByAu@uAUaLqBeIwA]I@OCUe@qCi@sCaAb@UcA_@eCs@qDKq@MMIo@qAqHkBgKiBkKwFu[qBmL{AmI_@uBA[eBaNWwB?a@?oBXaMFkBB_CEqAUsGIuBIuC@iBDoBZuEH{@TcANkAAY@]ZoBV_BSGgB{@UOW[SSY_@Uc@cEoKcCmGIYQQ_@[[Sa@MuAUmCUy@AuAHi@R[Vi@h@SJ[FuHrAcAVq@Z_Aj@e@`@w@`Ak@Wi@c@W[k@cAa@oAYq@QUUU]MWE}GJ,87
003041,2.15,15.9,8.1,wplaGt|}pLz@j@ENCBE?EDo@xBEZI|@XXh@h@^M?RBLRXjDxDfAzArAzAf@r@K\a@jAq@xAwFrLuApCu@`BOp@UhCEt@Cn@?~DAlEOdDo@hNc@|FyD]yFc@YCmCWeIu@mDc@o@EkABc@@uAQcDc@eBSuC_@cFs@w@IcB`Y}AlW,371
003042,2.32,16.0,8.7,wplaGt|}pLz@j@ENCBE?EDc@zAGMEKICK?a@^UTIAIG]e@Uq@CIX]x@{@TmABc@?YIo@IUKKKGO?COL]Jc@Fg@@i@@IMeASw@Mc@gCmDYi@Ok@[kB^aBPuARyAFOZkAPsAd@m@h@]H]NUf@m@tDcCi@kBQ]GI{DsByDsByAu@uAUaLqBeIwA]I@OCUe@qCi@sCaAb@UcA_@eCs@qDKq@MMIo@qAqHkBgKiBkKwFu[qBmL{AmI_@uBWQMgA,256
003043,3.52,26.0,8.1,wplaGt|}pLz@j@ENCBE?EDc@zAGMEKICK?a@^UTIAIG]e@Uq@CIX]x@{@TmABc@?YIo@IUKKKGO?COL]Jc@Fg@@i@@IMeASw@Mc@gCmDYi@Ok@[kB^aBPuARyAFOZkAPsAd@m@h@]H]NUf@m@tDcCi@kBQ]GI{DsByDsByAu@uAUaLqBeIwA]I@OCUe@qCi@sCaAb@UcA_@eCs@qDKq@MMIo@qAqHkBgKiBkKwFu[qBmL{AmI_@uBA[eBaNWwB?a@?oBXaMFkBB_CEqAUsGIuBIuC@iBDoBZuEH{@TcANkAAY@]ZoBV_BSGgB{@UOW[SSY_@Uc@cEoKcCmGIYQQ_@[[Sa@MuAUmCUEeA,15
003044,3.6,26.0,8.3,wplaGt|}pLz@j@ENCBE?EDc@zAGMEKICK?a@^UTIAIG]e@Uq@CIX]x@{@TmABc@?YIo@IUKKKGO?COL]Jc@Fg@@i@@IMeASw@Mc@gCmDYi@Ok@[kB^aBPuARyAFOZkAPsAd@m@h@]H]NUf@m@tDcCi@kBQ]GI{DsByDsByAu@uAUaLqBeIwA]I@OCUe@qCi@sCaAb@UcA_@eCs@qDKq@MMIo@qAqHkBgKiBkKwFu[qBmL{AmI_@uBA[eBaNWwB?a@?oBXaMFkBB_CEqAUsGIuBq@OUM{@w@wAoAuByBc@k@Oa@Ki@CS_AkAwAuAw@m@c@S_@Io@IeABm@@?[IoDOiCG}@UaA_@{@yAZeA`@kEzARpDqEx@aAPSyAWLMB,55
003045,0.69,5.2,8.0,wplaGt|}pLz@j@ENCBE?EDc@zAGMEKICK?a@^UTIAIG]e@Uq@CIX]x@{@TmABc@?YIo@IUKKKGO?COL]Jc@Fg@@i@@IMeASw@Mc@gCmDYi@Ok@[kBQC[JFd@i@TyAj@yBz@gDrAaCz@,499
003046,1.4,9.6,8.7,wplaGt|}pLbDtB|GfEzBeJl@oBgBaAc@UV_Af@cBh@}ASm@FK\o@LEDFL@DCRKTKqAiEc@_Bc@qB{AaF_B_FgCgJcB{F}DmMiAwD_@cAYk@uBqCG[oDsE{A|Ba@v@SLg@Vg@R,730
003047,4.05,29.6,8.2,wplaGt|}pLz@j@ENCBE?EDc@zAGMEKICK?a@^UTIAIG]e@Uq@CIX]x@{@TmABc@?YIo@IUKKKGO?COL]Jc@Fg@@i@@IMeASw@Mc@gCmDYi@Ok@[kB^aBPuARyAFOZkAPsAd@m@h@]H]NUf@m@tDcCi@kBQ]GI{DsByDsByAu@uAUaLqBeIwA]I@OCUe@qCi@sCaAb@UcA_@eCs@qDKq@MMIo@qAqHkBgKiBkKwFu[qBmL{AmI_@uBA[eBaNWwB?a@?oBXaMFkBB_CEqAUsGIuBIuC@iBDoBZuEH{@TcANkAAY@]ZoBV_BSGgB{@UOW[SSY_@Uc@cEoKcCmGIYQQ_@[[Sa@MuAUmCUy@AuAHi@R[Vi@h@SJ[FuHrAcAVq@Z_Aj@e@`@w@`Aw@|A{AnDoA`D_AlBmAfC,32
